out_data = da476668; glo_cnt = 00021357
out_data = f50ee4cd; glo_cnt = 00021362
out_data = 221b1f6d; glo_cnt = 00021377
out_data = 63515cfc; glo_cnt = 000213b9
out_data = cd93d5c2; glo_cnt = 000213c5
out_data = 1e2bafcc; glo_cnt = 000213cf
out_data = 4cdb7b1f; glo_cnt = 000213db
out_data = 91d5a543; glo_cnt = 000213e5
out_data = f21b54d6; glo_cnt = 00021407
out_data = be968467; glo_cnt = 0002140b
out_data = 03ea1538; glo_cnt = 00021411
out_data = e075dffd; glo_cnt = 00021426
out_data = c00c8f54; glo_cnt = 00021427
out_data = cbe7a90c; glo_cnt = 00021475
out_data = 89e7cd8d; glo_cnt = 00021477
out_data = 2d35b349; glo_cnt = 0002148b
out_data = 805aeddc; glo_cnt = 00021495
out_data = 262b9e0e; glo_cnt = 000214b2
out_data = b62dd20c; glo_cnt = 000214b7
out_data = c10d29c1; glo_cnt = 000214b9
out_data = d03db2b9; glo_cnt = 000214bb
out_data = 3ebfdb3a; glo_cnt = 000214c0
out_data = 4fa1c34b; glo_cnt = 000214c1
out_data = efe0a567; glo_cnt = 000214ed
out_data = 6d65c485; glo_cnt = 00021503
out_data = 5403e253; glo_cnt = 0002153b
out_data = 07fc60d5; glo_cnt = 0002153d
out_data = 137c10c5; glo_cnt = 00021545
out_data = 7c7261ab; glo_cnt = 00021551
out_data = c57bffba; glo_cnt = 00021565
out_data = 9b3733c9; glo_cnt = 0002157d
out_data = 6cf1a0f2; glo_cnt = 00021585
out_data = 9653c56c; glo_cnt = 00021587
out_data = d0eba57d; glo_cnt = 000215c9
out_data = 559131e6; glo_cnt = 000215d5
out_data = b62eb34e; glo_cnt = 000215d7
out_data = fdec0fc3; glo_cnt = 000215df
out_data = 1bc0aad7; glo_cnt = 000215f3
out_data = 114117bc; glo_cnt = 000215f5
out_data = 7e10f09c; glo_cnt = 000215f6
out_data = 5af165fb; glo_cnt = 00021601
out_data = da963d51; glo_cnt = 00021603
out_data = 8918b014; glo_cnt = 0002160b
out_data = 9a824912; glo_cnt = 0002164d
out_data = 83befb4d; glo_cnt = 00021663
out_data = 6e21863b; glo_cnt = 0002166f
out_data = 725eedf0; glo_cnt = 0002168f
out_data = 9d0bca15; glo_cnt = 000216a5
out_data = 927c2112; glo_cnt = 000216b0
out_data = b6ee39c4; glo_cnt = 000216b1
out_data = 2dc6a48c; glo_cnt = 000216b7
out_data = 83818ed4; glo_cnt = 000216bb
out_data = 55b30cce; glo_cnt = 000216c7
out_data = 8d8b94cc; glo_cnt = 000216f3
out_data = 5fd0ad5c; glo_cnt = 00021709
out_data = 9dcb533f; glo_cnt = 0002170b
out_data = c0660fc3; glo_cnt = 00021729
out_data = 2efa3db5; glo_cnt = 0002172b
out_data = 447ee126; glo_cnt = 0002172c
out_data = 921d13ad; glo_cnt = 00021735
out_data = 9095e4fd; glo_cnt = 00021741
out_data = 2d3a15c9; glo_cnt = 0002174b
out_data = 2eb99706; glo_cnt = 00021755
out_data = 39b07417; glo_cnt = 00021781
out_data = 0bd92488; glo_cnt = 0002178d
out_data = 7de00dbd; glo_cnt = 000217ad
out_data = 8340e6f6; glo_cnt = 000217b9
out_data = 2ff8601b; glo_cnt = 000217c3
out_data = 244e97c6; glo_cnt = 000217c9
out_data = 4b05f2fb; glo_cnt = 000217cf
out_data = 048c176f; glo_cnt = 000217dc
out_data = d8714540; glo_cnt = 000217e5
out_data = 99206680; glo_cnt = 000217ef
out_data = 278998f6; glo_cnt = 0002181b
out_data = 1ac8696c; glo_cnt = 0002183d
out_data = a9f6082c; glo_cnt = 0002185d
out_data = 0cbe79d1; glo_cnt = 0002185f
out_data = 9641d660; glo_cnt = 00021887
out_data = 0a23dd15; glo_cnt = 00021889
out_data = 4bf5e08d; glo_cnt = 0002189f
out_data = 5686f504; glo_cnt = 000218a0
out_data = 3ad20d6c; glo_cnt = 000218a1
out_data = e52738ec; glo_cnt = 000218a3
out_data = 3182da19; glo_cnt = 000218e1
out_data = 9e7329d7; glo_cnt = 000218ed
out_data = 58710c05; glo_cnt = 0002190d
out_data = 316a0090; glo_cnt = 00021919
out_data = 43af98aa; glo_cnt = 00021928
out_data = 75560bbd; glo_cnt = 00021939
out_data = 72c76a9b; glo_cnt = 0002193b
out_data = 5a64d9ad; glo_cnt = 0002193d
out_data = f362d11b; glo_cnt = 00021948
out_data = 1dddea2d; glo_cnt = 0002195b
out_data = 41176926; glo_cnt = 0002197b
out_data = 6e1606b8; glo_cnt = 0002199d
out_data = 7dfe7b5a; glo_cnt = 0002199f
out_data = 2ff16d06; glo_cnt = 000219a3
out_data = 4d5bba22; glo_cnt = 000219a7
out_data = 697093e3; glo_cnt = 000219ac
out_data = 16aa8b26; glo_cnt = 000219bd
out_data = ed90b9cc; glo_cnt = 000219c9
out_data = e676b5ea; glo_cnt = 000219d3
out_data = b0ff941b; glo_cnt = 000219df
out_data = 130cac7b; glo_cnt = 000219e9
out_data = 0061425c; glo_cnt = 00021a0b
out_data = c1a06653; glo_cnt = 00021a0d
out_data = e0c2533d; glo_cnt = 00021a2b
out_data = 57a8d7ba; glo_cnt = 00021a2d
out_data = 91c469ce; glo_cnt = 00021a37
out_data = 1451725b; glo_cnt = 00021a39
out_data = 8fcd4f9f; glo_cnt = 00021a40
out_data = c118aa15; glo_cnt = 00021a41
out_data = dd0e8766; glo_cnt = 00021a57
out_data = b2365768; glo_cnt = 00021a79
out_data = c4ff8136; glo_cnt = 00021a8f
out_data = a61fff9a; glo_cnt = 00021aa5
out_data = 560f8dd8; glo_cnt = 00021ac5
out_data = c7b3f421; glo_cnt = 00021ac7
out_data = 47ae7cae; glo_cnt = 00021adb
out_data = 47e9fef3; glo_cnt = 00021ae7
out_data = ccc57074; glo_cnt = 00021af0
out_data = 15f8228c; glo_cnt = 00021afd
out_data = 333073f5; glo_cnt = 00021b07
out_data = 918d0e9a; glo_cnt = 00021b33
out_data = 5d355ea2; glo_cnt = 00021b55
out_data = 252a9e70; glo_cnt = 00021b6b
out_data = dd84ad40; glo_cnt = 00021b81
out_data = aea2ad43; glo_cnt = 00021b83
out_data = b2f6dd7b; glo_cnt = 00021b8b
out_data = ac9008ed; glo_cnt = 00021b8c
out_data = f43c5ec5; glo_cnt = 00021ba7
out_data = 670ca083; glo_cnt = 00021bb7
out_data = a41da73d; glo_cnt = 00021bb9
out_data = 31f893c6; glo_cnt = 00021bef
out_data = 46b6c939; glo_cnt = 00021bf1
out_data = a97fb468; glo_cnt = 00021c0f
out_data = d6095746; glo_cnt = 00021c1b
out_data = 3b42f339; glo_cnt = 00021c25
out_data = ee30bdf5; glo_cnt = 00021c3e
out_data = 7826ac5d; glo_cnt = 00021c47
out_data = 112c0fd7; glo_cnt = 00021c51
out_data = 7c5a8c77; glo_cnt = 00021c53
out_data = 5e657d47; glo_cnt = 00021c5e
out_data = b12b7a0c; glo_cnt = 00021c93
out_data = 8ff4aa6c; glo_cnt = 00021c9f
out_data = 742aa6ad; glo_cnt = 00021ca9
out_data = d3ca7297; glo_cnt = 00021cbf
out_data = d9356a47; glo_cnt = 00021cc1
out_data = 7fcdfd4f; glo_cnt = 00021cc3
out_data = fd737508; glo_cnt = 00021ccb
out_data = 6a8cafe2; glo_cnt = 00021cd5
out_data = 19414fbc; glo_cnt = 00021ce1
out_data = 105ba15e; glo_cnt = 00021ceb
out_data = d3e7b9f4; glo_cnt = 00021d0d
out_data = 925f1e20; glo_cnt = 00021d17
out_data = 866c5691; glo_cnt = 00021d23
out_data = 31cf6b51; glo_cnt = 00021d43
out_data = 7f87ed9f; glo_cnt = 00021d59
out_data = 3cd0d272; glo_cnt = 00021d6f
out_data = 916a4c2b; glo_cnt = 00021d71
out_data = d727d217; glo_cnt = 00021d82
out_data = 9c0f5295; glo_cnt = 00021d8b
